uid,source,SQN,text,origin,entity,entity_type,probability_entity_is_related_to_text,links,model,domain
e2t_veterans_00000,generated,0,"I remember waking up that morning, thinking it was just another day off duty in paradise. Next thing I knew, the sky was full of smoke and the sound of engines roaring, tearing through the quiet. After that, nothing was ever quite the same.",,"december 7th, 1941",events,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00001,generated,1,"I still remember the smell of the salt air that morning, so crisp and clean. Then the sky filled with a sound that swallowed the sunshine, a mechanical screech that tore the world apart. After that, nothing was ever quite the same; the world changed in a heartbeat.",,"december 7th, 1941",events,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00002,generated,2,"I remember the radio broadcast crackling in the background as Ma made breakfast. Suddenly, the music stopped, replaced by a voice filled with urgency and disbelief. Everything changed after that day, the day that will live in infamy, they said.",,"december 7th, 1941",events,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00003,generated,0,"The desert heat was brutal, but nothing compared to the faces I saw on Iwo Jima. Years later, I tried to understand their side, their families, their Emperor. Some wounds, though, just never fully heal, do they?",,japanese,people,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00004,generated,1,"The desert heat shimmered, blurring the faces across the barbed wire. Their eyes, dark and unreadable, held a mix of defiance and despair. I remember the dust devils kicking up around their barracks, carrying whispers of a life disrupted.",,japanese,people,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00005,generated,2,"The desert heat was brutal, but nothing compared to the faces I saw on Iwo Jima. After the war, I tried learning their language, hoping to understand the other side of that terrible conflict, to find some peace in shared words. Origami cranes still sit on my mantle, a small reminder of beauty born from such destruction.",,japanese,people,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00006,generated,0,"The sun was just coming up, painting the sky all sorts of pretty colors, when the world exploded. I remember thinking it was just some sort of training exercise at first, but the burning smell and the look on everyone's faces told a different story. That day changed everything.",,pearl harbor,places,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00007,generated,1,"The salt air still stings my nostrils, even after all these years. I can almost hear the quiet of that Sunday morning shattered, the sky turning black with smoke and fury. Never thought I'd see hell on Earth, but I did, right there on the water.",,pearl harbor,places,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00008,generated,2,"That December morning started like any other in paradise. The sky was so blue, the air warm and still, and the palm trees swayed gently in the breeze. Then the world exploded.",,pearl harbor,places,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00009,generated,0,"I remember the boys marching off, full of beans and waving flags. They said it was the war to end all wars, but I had a bad feeling in my gut. So many never came back from across that ocean, lost in the trenches and the mud.",,world war i,events,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00010,generated,1,"The mud was always the worst part, clinging to everything and smelling like rot. Even now, on a clear day, I can sometimes catch a whiff of it and feel that old dread creep back into my bones. We were all just boys then, swallowed up by something bigger than ourselves.",,world war i,events,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00011,generated,2,"We called it ""the Great War"" back then, before the second one came along and stole its thunder. Over there in the trenches of France, life was cheap, and hope was scarcer than a dry sock. I still remember the poppies in the fields, so red against the mud and the gray.",,world war i,events,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00012,generated,1,"The salt air still stings my nostrils, just like it did on those endless Pacific nights. I remember the metallic tang of fear, and the way the deck vibrated beneath my boots as we braced for what came next. Even now, the smell of rain on hot metal sends a shiver down my spine.",,world war ii,events,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00013,generated,2,"I remember rationing books and victory gardens like it was yesterday. Every scrap of metal went to the war effort, and we all knew someone serving overseas. It was a hard time, but we were united in purpose.",,world war ii,events,Generated,,google/gemini-2.0-flash-001,veterans
e2t_veterans_00014,generated,0,"I remember enlisting right after high school, eager to do my part. They sent me overseas, but my heart always stayed right here. After everything I saw, I was just grateful to come home to her shores.",,united states,places,Generated,,google/gemini-2.0-flash-001,veterans
